source,category,sub_category,product_name,product_link,price,brand,item_weight
noon,Grocery,Herbs&spices,Hot Broasted Chicken Seasoning,https://www.noon.com/egypt-en/hot-broasted-chicken-seasoning/ZBEE3F50B5595BC2C6FF3Z/p/?o=zbee3f50b5595bc2c6ff3z-1,26.50,Brava,
noon,Grocery,Herbs&spices,Cloves 50 gm,https://www.noon.com/egypt-en/cloves-50-gm/ZCBA1D2EACFB37813A563Z/p/?o=zcba1d2eacfb37813a563z-1,95.00,ZARY,50g  |  EGP 190.00/100g
noon,Grocery,Herbs&spices,Potato Spices 75grams,https://www.noon.com/egypt-en/potato-spices-75grams/N28727487A/p/?o=fe7ec2ed9ccb61cd,47.25,Abu Auf,75g  |  EGP 63.00/100g
noon,Grocery,Herbs&spices,Black seeds 200 grams,https://www.noon.com/egypt-en/black-seeds-200-grams/Z53583461920220A66060Z/p/?o=z53583461920220a66060z-1,58.00,Ragab El Attar,200g  |  EGP 0.29/g
noon,Grocery,Herbs&spices,فولفيك أسيد الهيمالايا هو نفسه شيلاجيت الهيمالايا الغني بالمعادن - تركيز 2% - أكثر من 84 معدنًا,https://www.noon.com/egypt-en/2-84/Z22704B66AA8AA9F902F1Z/p/?o=z22704b66aa8aa9f902f1z-1,2100.00,,
noon,Grocery,Herbs&spices,Frankincense 100 gm,https://www.noon.com/egypt-en/frankincense-100-gm/ZD877A45548DED490DD77Z/p/?o=zd877a45548ded490dd77z-1,175.00,ZARY,100g  |  EGP 175.00/100g
noon,Grocery,Herbs&spices,"Savorya Natural Whole Cumin Seeds - Pure & Aromatic Spices - Premium Quality Airtight Jar (Specify Weight, e.g., 200g)",https://www.noon.com/egypt-en/savorya-natural-whole-cumin-seeds-pure-aromatic-spices-premium-quality-airtight-jar-specify-weight-e-g-200g/Z2F92DB3D4FD3A493C13CZ/p/?o=c67995020cbf2d7d,110.00,Savorya,200g  |  EGP 0.55/100g
noon,Grocery,Herbs&spices,"Savoria Organic and Pure Cinnamon Sticks for Cooking, Baking, Drinks and Flavorings, 90g",https://www.noon.com/egypt-en/savoria-organic-and-pure-cinnamon-sticks-for-cooking-baking-drinks-and-flavorings-90g/Z30E12F8B1CCF103374F8Z/p/?o=d9dbdccddc1afc9e,100.00,Savorya,90g  |  EGP 111.11/100g
noon,Grocery,Herbs&spices,Shawarma Mix - 30g,https://www.noon.com/egypt-en/shawarma-mix-30g/Z26F2A2D02EFBCD675BCDZ/p/?o=z26f2a2d02efbcd675bcdz-1,14.00,Maggi,30g  |  EGP 46.67/100g
noon,Grocery,Herbs&spices,Cinnamon Ginger 20 Sachets,https://www.noon.com/egypt-en/cinnamon-ginger-20-sachets/N28991780A/p/?o=dfd889d544c3c8ab,36.00,ISIS,20 pieces  |  EGP 1.80/piece
noon,Grocery,Herbs&spices,Savoria Natural Roasted Sesame Seeds - 150g - Premium Quality Crunchy Whole Seeds,https://www.noon.com/egypt-en/savoria-natural-roasted-sesame-seeds-150g-premium-quality-crunchy-whole-seeds/ZA99EBBF765C82AF4C967Z/p/?o=ae4a8035ffad437d,100.00,Savorya,150g  |  EGP 0.67/100g
noon,Grocery,Herbs&spices,Star Anise 50 gm,https://www.noon.com/egypt-en/star-anise-50-gm/Z0D30939CC8F272790381Z/p/?o=z0d30939cc8f272790381z-1,104.00,ZARY,50g  |  EGP 2.08/g
noon,Grocery,Herbs&spices,Seven Spices 70grams,https://www.noon.com/egypt-en/seven-spices-70grams/N28849773A/p/?o=a947a4bd5ba51e4f,45.25,Abu Auf,70g  |  EGP 64.64/100g
noon,Grocery,Herbs&spices,Coriander Powder 20grams,https://www.noon.com/egypt-en/coriander-powder-20grams/N30522040A/p/?o=f7fa4c7ff2584e7b,8.00,Rehana,20g  |  EGP 40.00/100g
noon,Grocery,Herbs&spices,Dream Well Mixed Herbs - 50 gm,https://www.noon.com/egypt-en/dream-well-mixed-herbs-50-gm/ZAFEB8607E734016067E0Z/p/?o=zafeb8607e734016067e0z-1,90.00,Dhyaan House,50g  |  EGP 180.00/100g
noon,Grocery,Herbs&spices,Jalapeno Pepper Sliced ​​800g,https://www.noon.com/egypt-en/jalapeno-pepper-sliced-800g/Z70912AB29E8E113284A2Z/p/?o=z70912ab29e8e113284a2z-1,66.00,Saegh,800g  |  EGP 2.34/oz
noon,Grocery,Herbs&spices,Sesame 100 gm,https://www.noon.com/egypt-en/sesame-100-gm/Z62C2D5CB4CF633C90EB7Z/p/?o=z62c2d5cb4cf633c90eb7z-1,64.00,ZARY,100g  |  EGP 64.00/100g
noon,Grocery,Herbs&spices,Pistachio Vanilla Matcha Masala 125g,https://www.noon.com/egypt-en/pistachio-vanilla-matcha-masala-125g/Z4FC0F8F09F96B59A1292Z/p/?o=ddec46e946e52ffb,467.75,Dr. Baby,125g  |  EGP 374.20/100g
noon,Grocery,Herbs&spices,Bechamel Mix Cheese 70grams,https://www.noon.com/egypt-en/bechamel-mix-cheese-70grams/N49743396A/p/?o=ebeca5f6fb36f94f,14.25,Maggi,70g  |  EGP 20.36/100g
noon,Grocery,Herbs&spices,Smoked Paprika 35g,https://www.noon.com/egypt-en/smoked-paprika-35g/ZBDCD796FA70DA2A91C97Z/p/?o=zbdcd796fa70da2a91c97z-1,28.25,Abu Auf,35g  |  EGP 80.71/100g
noon,Grocery,Herbs&spices,Ragab ELattar Mistaka 20g,https://www.noon.com/egypt-en/ragab-elattar-mistaka-20g/ZAB5B329985C8353B798CZ/p/?o=zab5b329985c8353b798cz-1,400.00,Chios Mastic,20g  |  EGP 2000.00/100g
noon,Grocery,Herbs&spices,Rosemary 35 grams - Esnad,https://www.noon.com/egypt-en/rosemary-35-grams-esnad/Z08309C88BDFB9FF192E4Z/p/?o=d5ed85b24c49c38c,195.00,Esnad,35g  |  EGP 5.57/g
noon,Grocery,Herbs&spices,Wafery Ground Black Pepper 250 gm,https://www.noon.com/egypt-en/wafery-ground-black-pepper-250-gm/Z5DC8D2F789883F366B5FZ/p/?o=z5dc8d2f789883f366b5fz-1,180.00,ZARY,250g  |  EGP 72.00/100g
noon,Grocery,Herbs&spices,"Qassim Saffron Mixture for Arabic Coffee, 125g",https://www.noon.com/egypt-en/qassim-saffron-mixture-for-arabic-coffee-125g/ZBFFF1C66A4D65C9BB2ACZ/p/?o=zbfff1c66a4d65c9bb2acz-1,280.00,AL QASSIM,125g  |  EGP 224.00/100g
noon,Grocery,Herbs&spices,Khairat Al-Sham Premium Green Zaatar Blend - Authentic Syrian Thyme with Toasted Sesame - 400g Pouch,https://www.noon.com/egypt-en/khairat-al-sham-premium-green-zaatar-blend-authentic-syrian-thyme-with-toasted-sesame-400g-pouch/Z519AE080CDC7008A5CD9Z/p/?o=z519ae080cdc7008a5cd9z-1,105.00,Generic,400g  |  EGP 26.25/100g
noon,Grocery,Herbs&spices,"Mehran Curry Powder, Recipe and Seasoning Mix for Meat and Vegetables, 200g",https://www.noon.com/egypt-en/mehran-curry-powder-recipe-and-seasoning-mix-for-meat-and-vegetables-200g/ZDCDDFFAAF3EB3BDF6D48Z/p/?o=d349387e11c9a13b,270.00,Mehran,200g  |  EGP 1.35/g
noon,Grocery,Herbs&spices,"Mehran Biryani Spice Mix, 110g, a traditional blend of spices for meat and rice dishes, pack of 2.",https://www.noon.com/egypt-en/mehran-biryani-spice-mix-110g-a-traditional-blend-of-spices-for-meat-and-rice-dishes-pack-of-2/Z5972C3E8FF067B6894DDZ/p/?o=cab6bb8ad911f8df,250.00,Mehran,220g  |  EGP 113.64/100g
noon,Grocery,Herbs&spices,Pure Moringa Powder - 50 gm,https://www.noon.com/egypt-en/pure-moringa-powder-50-gm/ZDB6A6036D80817C83417Z/p/?o=zdb6a6036d80817c83417z-1,82.00,Dhyaan House,50g  |  EGP 164.00/100g
noon,Grocery,Herbs&spices,Bechamel Mix Spices 70grams,https://www.noon.com/egypt-en/bechamel-mix-spices-70grams/N28968477A/p/?o=c1b897a28e9ab3ab,14.00,Maggi,70g  |  EGP 20.00/100g
