sku,source,category,sub_category,product_name,price,brand,item_weight,unit_count,date,item_weight_grams
n28548501a,noon,grocery,"creal,oats,jams&honey",crunchy banana with chocolate 350grams,149.0,sante,350,1.0,2026-06-25,350.0
ze10514430a1b47023a5ez,noon,grocery,"creal,oats,jams&honey",pomegranate molasses 540 gram,77.0,dobella,540,1.0,2026-06-25,540.0
zb8e7c8af706e781cd731z,noon,grocery,"creal,oats,jams&honey",hazelnut chocolate spread 900g,179.1,asmacup,900,1.0,2026-06-25,900.0
z494c85084fcd5952d8e5z,noon,grocery,"creal,oats,jams&honey",max tella hazelnut and cocoa chocolate spread - rich creamy texture for breakfast & desserts - value pack 900g,175.0,maxtella,1,1.0,2026-06-25,1800.0
zea15fd7aa5fe5bc44bfez,noon,grocery,"creal,oats,jams&honey",creamy peanut butter 320g,112.0,haj arafa,320,1.0,2026-06-25,320.0
n12280412a,noon,grocery,"creal,oats,jams&honey",crunchy classic crispy cereal flakes 350grams,121.0,sante,350,1.0,2026-06-25,350.0
z76b3bbe886acd5db82f3z,noon,grocery,"creal,oats,jams&honey",plain sesame light diet halawa,80.0,halwani bros,250,1.0,2026-06-25,250.0
za70c3813cdab9e571ac3z,noon,grocery,"creal,oats,jams&honey",rotus spread cream – cinnamon & caramel flavor – smooth & creamy dessert filling – family snack – 350g,95.0,rotus,350,1.0,2026-06-25,350.0
n42868072a,noon,grocery,"creal,oats,jams&honey",gluten free whole grain oats 500grams,146.75,healthy mill,500,1.0,2026-06-25,500.0
z8f11fd8cfb38f18461bbz,noon,grocery,"creal,oats,jams&honey",rocher spread cream irresistible luxurious rocher goodness 350 gm,162.0,asmacup,350,1.0,2026-06-25,350.0
z1acfb0c3e83a7bf8b5e2z,noon,grocery,"creal,oats,jams&honey",Pistachio spread 200 grams,179.1,Fishes,200,1.0,2026-06-25,200.0
z4ba27ef7129f14d5cbc5z,noon,grocery,"creal,oats,jams&honey",maxtella chocolate hazelnut spread - 320g,99.99,maxtella,320,1.0,2026-06-25,320.0
n42868004a,noon,grocery,"creal,oats,jams&honey",fit granola strawberry and cherry 300grams,208.25,sante,300,1.0,2026-06-25,300.0
z3d684ec7b8f717ab7b3cz,noon,grocery,"creal,oats,jams&honey",nawara honey with honey 450 g,126.0,shana nature house,470,1.0,2026-06-25,470.0
