sku,source,category,sub_category,product_name,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count,Unnamed: 4,date
N13710064A,noon,Grocery,"creal,oats,Jams&Honey",Fruit Muesli 350grams,168.25,Sante,350g  |  EGP 48.07/100g,,,,,,,2026-06-25
Z7D5ADC5221BF351411D4Z,noon,Grocery,"creal,oats,Jams&Honey",ماكستيلا سبريد الشوكولاتة بالبندق – 900 جرام | كريمة كاكاو بالبندق ناعمة للإفطار والحلويات,175.0,ماكس تيلا,900g  |  EGP 19.44/100g,,,,,,,2026-06-25
ZB375C232D32C8E5723CAZ,noon,Grocery,"creal,oats,Jams&Honey",Kind kids Spread Cream 350 gm,99.0,ASMACUP,350g  |  EGP 28.29/100g,,,,,,,2026-06-25
Z579F028569FDA55A06D1Z,noon,Grocery,"creal,oats,Jams&Honey",Saegh Whole Grain Oats 400g,80.0,Saegh,400g  |  EGP 20.00/100g,,,,,,,2026-06-25
N42868005A,noon,Grocery,"creal,oats,Jams&Honey",Fit Granola Nuts And Cocoa - No Sugar Added 300grams,208.25,Sante,300g  |  EGP 69.42/100g,,,,,,,2026-06-25
N48663892A,noon,Grocery,"creal,oats,Jams&Honey",High Protein Instant Oatmeal The Chocolate Mocha 300grams,80.25,Kayy,300g  |  EGP 26.75/100g,,,,,,,2026-06-25
ZCD12CD88703751F4A0E7Z,noon,Grocery,"creal,oats,Jams&Honey",Saegh black Honey polyethylene 700 g,68.0,Saegh,700g  |  EGP 2.75/oz,,,,,,,2026-06-25
Z2CDCA10C6CE1950E1C51Z,noon,Grocery,"creal,oats,Jams&Honey",Sezar honey - 12 sachets x 18 grams,480.0,Uni Smart Group,12 pieces  |  EGP 40.00/piece,,,,,,,2026-06-25
N12280413A,noon,Grocery,"creal,oats,Jams&Honey",Granola Fruit 350grams,186.25,Sante,350g  |  EGP 53.21/100g,,,,,,,2026-06-25
N27747713A,noon,Grocery,"creal,oats,Jams&Honey",Crunchy Fruits Grain Oat Flake 350grams,149.0,Sante,350g  |  EGP 42.57/100g,,,,,,,2026-06-25
Z6CFB0EEDFE09E8E86096Z,noon,Grocery,"creal,oats,Jams&Honey",Saegh Alfalfa Blossom Honey 450 gm,119.0,Saegh,450g  |  EGP 26.44/100g,,,,,,,2026-06-25
Z2519ADEA5027508C785AZ,noon,Grocery,"creal,oats,Jams&Honey",Hazelnut Spread Chocolate-350g,144.0,Milkato,350g  |  EGP 41.14/100g,,,,,,,2026-06-25
Z30D5A2A3B3CD4528C8EFZ,noon,Grocery,"creal,oats,Jams&Honey",Hazelnut Chocolate Spread Sweetened With Monkfruit - 250g,211.0,LAKANTO,250g  |  EGP 84.40/100g,,,,,,,2026-06-25
Z636C8E176E4441665B72Z,noon,Grocery,"creal,oats,Jams&Honey",Dark Chocolate Spread Sweetened With Monkfruit - 250g,211.0,LAKANTO,250g  |  EGP 84.40/100g,,,,,,,2026-06-25
Z4BE483981C4D41F0F3CAZ,noon,Grocery,"creal,oats,Jams&Honey",MoUni VIP - 12 sachets x 16 grams - from Uni Smart Group,225.0,Uni Smart Group,12 pieces  |  EGP 18.75/piece,,,,,,,2026-06-25
Z6E7776360B944DDBD50EZ,noon,Grocery,"creal,oats,Jams&Honey",Oat Whole Grain 500G,57.0,Haj Arafa,500g  |  EGP 11.40/100g,,,,,,,2026-06-25
Z67E4983F4C7BB9BE04B1Z,noon,Grocery,"creal,oats,Jams&Honey",Maxtella Chocolate Hazelnut Spread – 450g Jar – Rich Creamy Chocolate with Premium Hazelnuts,94.99,Maxtella,450g  |  EGP 21.11/100g,,,,,,,2026-06-25
Z5D5E063D2FE1C5D29D54Z,noon,Grocery,"creal,oats,Jams&Honey",Saegh honey with nuts 250g,137.0,Saegh,250g  |  EGP 15.54/oz,,,,,,,2026-06-25
ZED330BB26A58F6584666Z,noon,Grocery,"creal,oats,Jams&Honey",Healthy Spread Chocolate Extra Nuts with Hazelnut Pieces 375 gm,216.0,Milkato,375g  |  EGP 57.60/100g,,,,,,,2026-06-25
N30328302A,noon,Grocery,"creal,oats,Jams&Honey",Whey Protein Oats 500grams,105.0,Kayy,500g  |  EGP 21.00/100g,,,,,,,2026-06-25
ZA31487989356E91E27EEZ,noon,Grocery,"creal,oats,Jams&Honey",Speculoos Biscuits Spread 380 gm,171.0,Milkato,380g  |  EGP 45.00/100g,,,,,,,2026-06-25
ZFF638991D748CB593F57Z,noon,Grocery,"creal,oats,Jams&Honey","Chocolate spread from X Spread with natural hazelnut pieces, 350 g.",90.0,Mozn,350g  |  EGP 25.71/100g,,,,,,,2026-06-25
Z6A8CACC9AD838D13AC9EZ,noon,Grocery,"creal,oats,Jams&Honey",Healthy Spread  Chocolate Original with Hazelnut 375 gm,200.0,Milkato,375g  |  EGP 53.33/100g,,,,,,,2026-06-25
ZC61DF738357B6F3296C9Z,noon,Grocery,"creal,oats,Jams&Honey",Crunchy Peanut Butter 320g,112.0,Haj Arafa,320g  |  EGP 9.92/oz,,,,,,,2026-06-25
Z8784CB5DB1AE8F4833DFZ,noon,Grocery,"creal,oats,Jams&Honey",Beeswax 500 grams - 100% natural from Uni Smart Group,145.0,Uni Smart Group,500g  |  EGP 29.00/100g,,,,,,,2026-06-25
N28548504A,noon,Grocery,"creal,oats,Jams&Honey",High Fibre Oats Flakes 500grams,133.0,Sante,500g  |  EGP 26.60/100g,,,,,,,2026-06-25
ZB63FEB5B966B98E7A90DZ,noon,Grocery,"creal,oats,Jams&Honey",Citrus Honey 2.2kg,687.0,Imtenan,2.2kg  |  EGP 31.23/100g,,,,,,,2026-06-25
N42868104A,noon,Grocery,"creal,oats,Jams&Honey",Fruit Rings 250grams,36.0,Cornexi,250g  |  EGP 14.40/100g,,,,,,,2026-06-25
Z3F874EBF1F408CB6907EZ,noon,Grocery,"creal,oats,Jams&Honey",Peanut Protein Bar 70 grams,56.0,Imtenan,70g  |  EGP 80.00/100g,,,,,,,2026-06-25
ZD7FAB2707A43241E364AZ,noon,Grocery,"creal,oats,Jams&Honey",Plain Sesame Halawa 250gm,37.0,Halwani Bros,250g  |  EGP 14.80/100g,,,,,,,2026-06-25
N51182038A,noon,Grocery,"creal,oats,Jams&Honey",Protein Almond Bar 70grams,94.0,Abu Auf,70g  |  EGP 134.29/100g,,,,,,,2026-06-25
Z343D67BF71B0822ADCC2Z,noon,Grocery,"creal,oats,Jams&Honey",Rotus Caramel and Cinnamon Biscuit Sauce - Dessert Topping & Syrup - 350g,99.99,Rotus,350g  |  EGP 28.57/100g,,,,,,,2026-06-25
Z8EBDB4E55C3020B9E4EEZ,noon,Grocery,"creal,oats,Jams&Honey","Abu Auf Peanut Butter No Added Sugar , 330 gm",169.9,Abu Auf,330g  |  EGP 51.48/100g,,,,,,,2026-06-25
N35958675A,noon,Grocery,"creal,oats,Jams&Honey",Crunchy Peanut Butter 510grams,126.0,DOBELLA,510g  |  EGP 24.71/100g,,,,,,,2026-06-25
ZFBAA6308D770B54DA4EFZ,noon,Grocery,"creal,oats,Jams&Honey",Luxury Coconut and Almond Chocolate Gift Box - 15 Pieces - 156g,690.0,Ferrero,156g  |  EGP 4.42/100g,,,,,,,2026-06-25
Z7D8121EA1810BFD73D47Z,noon,Grocery,"creal,oats,Jams&Honey",Egyptian Mountain Sidr Honey 2.2kg,1676.0,Imtenan,2.2kg  |  EGP 76.18/100g,,,,,,,2026-06-25
Z055A3289FBCEFF600906Z,noon,Grocery,"creal,oats,Jams&Honey",Corn Flakes 400 grams,83.0,Imtenan,400g  |  EGP 20.75/100g,,,,,,,2026-06-25
ZBE9AB769292239BDC2BBZ,noon,Grocery,"creal,oats,Jams&Honey",ElHelwa Plain Sesame Halawa 700g,121.25,Halwani Bros,700g  |  EGP 17.32/100g,,,,,,,2026-06-25
ZE5677A7D35E3C270D968Z,noon,Grocery,"creal,oats,Jams&Honey",El Mordjene - Gourmet Hazelnut Spread - 700gm,699.75,El Mordjene,700g  |  EGP 99.96/100g,,,,,,,2026-06-25
ZA84EE19DBDFF8B30953EZ,noon,Grocery,"creal,oats,Jams&Honey",Sesame Halawa with Pistachio 250g,90.0,Halwani Bros,250g  |  EGP 36.00/100g,,,,,,,2026-06-25
ZED634AA5FC7C5324DDCFZ,noon,Grocery,"creal,oats,Jams&Honey",Protein Flex Brownies Pops 250g,76.0,Real,250g  |  EGP 30.40/100g,,,,,,,2026-06-25
Z2144CDACCDA60FA77DFAZ,noon,Grocery,"creal,oats,Jams&Honey",Bran Flakes 400 grams,92.0,Imtenan,400g  |  EGP 23.00/100g,,,,,,,2026-06-25
ZB252F3214C55179FD316Z,noon,Grocery,"creal,oats,Jams&Honey",Arkan Halawa with Chocolate – 400g Sweet Sesame Dessert – Authentic Middle Eastern Confection,105.0,ARKAN,300g  |  EGP 35.00/100g,,,,,,,2026-06-25
N12280411A,noon,Grocery,"creal,oats,Jams&Honey",Tropical Flavour Muesli 350grams,136.0,Sante,350g  |  EGP 38.86/100g,,,,,,,2026-06-25
ZFF638991D748CB593F57Z,noon,Grocery,"creal,oats,Jams&Honey","Chocolate spread from X Spread with natural hazelnut pieces, 350 g.",90.0,Mozn,350g  |  EGP 25.71/100g,,,,,,,2026-06-25
Z6A8CACC9AD838D13AC9EZ,noon,Grocery,"creal,oats,Jams&Honey",Healthy Spread  Chocolate Original with Hazelnut 375 gm,200.0,Milkato,375g  |  EGP 53.33/100g,,,,,,,2026-06-25
Z2E6F9211FA9DB57EE875Z,noon,Grocery,"creal,oats,Jams&Honey",عسل سدر جبلي طبيعي فاخر – 400 جم | نقي، صحي، أصيل,550.0,,1000g  |  EGP 55.00/100g,,,,,,,2026-06-25
N29595074A,noon,Grocery,"creal,oats,Jams&Honey",Vitrac Fig Light Jam 220grams,40.25,Vitrac,220g  |  EGP 18.30/100g,,,,,,,2026-06-25
N42868058A,noon,Grocery,"creal,oats,Jams&Honey",Oat Flakes 500grams,72.0,Class A,500g  |  EGP 14.40/100g,,,,,,,2026-06-25
Z6BE59A081E5D6B7F1A38Z,noon,Grocery,"creal,oats,Jams&Honey",Chocolate Hazelnut Crunchy Spread 300g,106.0,El bawadi,300g  |  EGP 35.33/100g,,,,,,,2026-06-25
Z3EC07756F9105745FAB9Z,noon,Grocery,"creal,oats,Jams&Honey",Squeez Honey 1000g,230.0,Saegh,1000g  |  EGP 23.00/100g,,,,,,,2026-06-25
ZC0ACC66106703A4B3913Z,noon,Grocery,"creal,oats,Jams&Honey",Toffee Bites 225gm,82.0,Real,225g  |  EGP 36.44/100g,,,,,,,2026-06-25
N35958674A,noon,Grocery,"creal,oats,Jams&Honey",Creamy Peanut Butter 510grams,126.0,DOBELLA,510g  |  EGP 24.71/100g,,,,,,,2026-06-25
ZE3E1CD3F48950B0F6608Z,noon,Grocery,"creal,oats,Jams&Honey",Healthy Matcha Granola 275G,239.0,Greenuts,275g  |  EGP 86.91/100g,,,,,,,2026-06-25
N29595072A,noon,Grocery,"creal,oats,Jams&Honey",Strawberry Light Jam 220grams,40.25,Vitrac,220g  |  EGP 18.30/100g,,,,,,,2026-06-25
ZD6A2986B2E7A18A67CD2Z,noon,Grocery,"creal,oats,Jams&Honey",Asmacup peanut butter Spread 900 gm,211.5,ASMACUP,900g  |  EGP 23.50/100g,,,,,,,2026-06-25
N42868074A,noon,Grocery,"creal,oats,Jams&Honey",Oats Flour Gluten Free 500grams,143.25,Healthy Mill,500g  |  EGP 28.65/100g,,,,,,,2026-06-25
Z145183CFAA081A8DBDB8Z,noon,Grocery,"creal,oats,Jams&Honey",Keto Bar Almonds 60 grams,100.0,HEALTHY & TASTY,60g  |  EGP 166.67/100g,,,,,,,2026-06-25
ZE791930F39178D9506EDZ,noon,Grocery,"creal,oats,Jams&Honey",Dubai filling Kunafa & Pistachio 1 KG,449.1,ASMACUP,1000g  |  EGP 44.91/100g,,,,,,,2026-06-25
N28727425A,noon,Grocery,"creal,oats,Jams&Honey",Peanut Butter With Dark Chocolate 330grams,173.25,Abu Auf,330g  |  EGP 52.50/100g,,,,,,,2026-06-25
Z1DDAB03A25D4D659BE9FZ,noon,Grocery,"creal,oats,Jams&Honey",Gold Hazelnuts Cream 350 gm,180.0,Milkato,350g  |  EGP 51.43/100g,,,,,,,2026-06-25
Z44F7310633693BD7AD3DZ,noon,Grocery,"creal,oats,Jams&Honey",Imported Ferrero Rocher Chocolate - 16 Pieces - 200g - Rich Hazelnut Flavour,495.0,Ferrero,200g  |  EGP 2.48/100g,,,,,,,2026-06-25
Z474CCC0F72DEAA126622Z,noon,Grocery,"creal,oats,Jams&Honey",Chocolate Hazelnut Spread 350g,108.0,ASMACUP,350g  |  EGP 30.86/100g,,,,,,,2026-06-25
ZAD6B876D43B1D47C3F8CZ,noon,Grocery,"creal,oats,Jams&Honey","Max tilla Hazelnut and Chocolate Spread Savings Bundle - 3 Packs x 900g (Total 2.7kg) - Rich Flavor & Creamy Texture, Perfect for Sandwiches, Crepes and Desserts",480.0,Maxtella,2.7kg  |  EGP 17.78/100g,,,,,,,2026-06-25
Z02D1837EDABC2817543EZ,noon,Grocery,"creal,oats,Jams&Honey",Pistachio Spread Cream 1 KG,585.0,ASMACUP,1000g  |  EGP 58.50/100g,,,,,,,2026-06-25
N52906986A,noon,Grocery,"creal,oats,Jams&Honey",Greek Honey 455grams,964.0,Attiki,455g  |  EGP 211.87/100g,,,,,,,2026-06-25
N35958663A,noon,Grocery,"creal,oats,Jams&Honey",Oat Flakes 500grams,72.0,MEGA FOODS,500g  |  EGP 14.40/100g,,,,,,,2026-06-25
ZC750D224D5CF2F421655Z,noon,Grocery,"creal,oats,Jams&Honey",Keto Coconut Chocolate Bar 60 grams,100.0,HEALTHY & TASTY,60g  |  EGP 166.67/100g,,,,,,,2026-06-25
Z44A8181C9AC111A8AAFCZ,noon,Grocery,"creal,oats,Jams&Honey",asmacup White Chocolate Oreo Spread 900 gm,202.5,ASMACUP,900g  |  EGP 22.50/100g,,,,,,,2026-06-25
N28548501A,noon,Grocery,"creal,oats,Jams&Honey",Crunchy Banana With Chocolate 350grams,149.0,Sante,350g  |  EGP 42.57/100g,,,,,,,2026-06-25
ZE10514430A1B47023A5EZ,noon,Grocery,"creal,oats,Jams&Honey",Pomegranate Molasses  540 Gram,77.0,DOBELLA,540g  |  EGP 14.26/100g,,,,,,,2026-06-25
ZB8E7C8AF706E781CD731Z,noon,Grocery,"creal,oats,Jams&Honey",Hazelnut Chocolate Spread 900g,179.1,ASMACUP,900g  |  EGP 19.90/100g,,,,,,,2026-06-25
Z494C85084FCD5952D8E5Z,noon,Grocery,"creal,oats,Jams&Honey",Max Tella Hazelnut and Cocoa Chocolate Spread - Rich Creamy Texture for Breakfast & Desserts - Value Pack 900g,175.0,Maxtella,1.8kg  |  EGP 9.72/100g,,,,,,,2026-06-25
ZEA15FD7AA5FE5BC44BFEZ,noon,Grocery,"creal,oats,Jams&Honey",Creamy Peanut Butter 320g,112.0,Haj Arafa,320g  |  EGP 9.92/oz,,,,,,,2026-06-25
