source,category,sub_category,product_link,product_name,brand,price,item_weight
noon,Beverages,juice,https://www.noon.com/egypt-en/mogu-mogu-mango-flavored-drink-with-nata-de-coco-chewy-tropical-beverage-3-x-320ml/ZFA3E58A8926CED337226Z/p/?o=e39445a6e65b05fc,"MOGU MOGU Mango Flavored Drink With NATA DE COCO, Chewy Tropical Beverage, 3 x 320ml",Mogu Mogu,195.00,960ml  |  EGP 203.12/L
noon,Beverages,juice,https://www.noon.com/egypt-en/gold-white-grape-sparkling-fruit-juice-250-ml/Z5993F8820B2C0372B16DZ/p/?o=e887babecb61b9bb,Gold White Grape Sparkling Fruit Juice  250 ml,may,73.25,250ml  |  EGP 293.00/L
noon,Beverages,juice,https://www.noon.com/egypt-en/tamr-hendi-1liters/N29595481A/p/?o=ad1b5cee8c9b895b,Tamr-Hendi 1Liters,ISIS,76.00,1000ml  |  EGP 7.60/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/hibiscus-juice-1liters/N29595479A/p/?o=d52d431b12a9eedc,Hibiscus Juice 1Liters,ISIS,76.00,1000ml  |  EGP 7.60/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/joystick-guava-nectar-200ml-27-natural-guava-juice-rich-in-vitamin-c-refreshing-taste/Z124828718CFBFF47CF08Z/p/?o=efce10035e719a2f,"Joystick Guava Nectar 200ml × 27 – Natural Guava Juice, Rich in Vitamin C, Refreshing Taste",Joystick,324.00,5.4L  |  EGP 6.00/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/gold-apple-sparkling-fruit-juice-250-ml/Z1A7A6E572D82EF8B50F1Z/p/?o=c70437ddf27eff6d,Gold Apple Sparkling Fruit Juice  250 ml,may,73.25,250ml  |  EGP 293.00/L
noon,Beverages,juice,https://www.noon.com/egypt-en/ship-brand-original-tamarind-paste-value-pack-of-6-6-x-150g-natural-pure-for-refreshing-drinks-and-gourmet-recipes/Z4362908594B53001996BZ/p/?o=ce2f56660196733d,Ship Brand Original Tamarind Paste - Value Pack of 6 (6 x 150g) | Natural & Pure for Refreshing Drinks and Gourmet Recipes,Ship,198.00,900g  |  EGP 22.00/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/joystick-mixed-fruits-nectar-sugar-free-200ml-x27-natural-fruit-juice-blend-no-added-sugar-healthy-beverage-pack/Z8501F624BF22C3F6A296Z/p/?o=c43c3301eef4469c,Joystick Mixed Fruits Nectar Sugar Free 200ml x27 | Natural Fruit Juice Blend | No Added Sugar | Healthy Beverage Pack,Joystick,324.00,5.4L  |  EGP 6.00/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/bestsoy-corn-soya-bean-drink-320ml-pack-of-6-nutritious-plant-based-milk-alternative-creamy-soy-sweet-corn-blend-refreshing-high-protein-beverage/Z8C7FED0690ED625F6480Z/p/?o=d4333bfbe35ee5ee,Bestsoy Corn Soya Bean Drink – 320ml (Pack of 6) – Nutritious Plant-Based Milk Alternative – Creamy Soy & Sweet Corn Blend – Refreshing High-Protein Beverage,,417.08,1920ml  |  EGP 217.23/L
noon,Beverages,juice,https://www.noon.com/egypt-en/guava-cocktail-juice-1liters/N28727594A/p/?o=aed4b11d1ee1313e,Guava Cocktail Juice 1Liters,Juhayna,55.75,1000ml  |  EGP 5.58/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/pineapple-juice-300g/ZDEE3EF3181500A7B35EBZ/p/?o=zdee3ef3181500a7b35ebz-1,Pineapple juice 300g,BONA,85.00,300g  |  EGP 28.33/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/natural-doum-juice/ZA600D6FAC903E983BD2AZ/p/?o=za600d6fac903e983bd2az-1,Natural Doum Juice,ISIS,25.00,250ml  |  EGP 100.00/L
noon,Beverages,juice,https://www.noon.com/egypt-en/dreem-fruty-orange-flavor-soft-drink-powder-750g/ZFC496B8699CB9FBC6D30Z/p/?o=a26aad27aceaa76b,Dreem Fruty Orange Flavor Soft Drink Powder - 750g,Dreem,154.00,750g  |  EGP 20.53/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/yalla-smoozy-mojito-box-10-sachets/ZEB5168014BE9795E8FA4Z/p/?o=b0ed5492cbdc2eea,Yalla Smoozy Mojito box 10 Sachets,,150.00,10 pieces  |  EGP 15.00/piece
noon,Beverages,juice,https://www.noon.com/egypt-en/lemon-mint-juice-400-grams/Z454D7671B510A93C01BDZ/p/?o=z454d7671b510a93c01bdz-1,Lemon Mint Juice 400 grams,Haj Arafa,79.00,400g  |  EGP 19.75/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/al-rabie-juice-drink-refreshing-kiwi-and-lime-flavour-pack-of-3-x-185ml/Z465341D35A1EAF834422Z/p/?o=e746ee3c282dbc4d,"Al Rabie Juice Drink, Refreshing Kiwi and Lime Flavour, Pack of 3 x 185ml",Al Rabie,237.00,555ml  |  EGP 0.43/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/mogu-mogu-lychee-flavored-drink-with-nata-de-coco-chewy-fruit-beverage-320ml-pack-of-3/ZB8E3D44C4321D1B30C05Z/p/?o=ed588bf12200220e,"Mogu Mogu Lychee Flavored Drink with Nata de Coco, Chewy Fruit Beverage, 320ml (Pack of 3)",Mogu Mogu,240.00,
noon,Beverages,juice,https://www.noon.com/egypt-en/sun-top-orange-fruit-drink-high-in-vitamin-c-refreshing-pack-of-6-cartons/Z4E45DCCCA8C47A116A22Z/p/?o=f509323ae285a84a,"Sun Top Orange Fruit Drink, High in Vitamin C, Refreshing, Pack of 6 Cartons",Generic,217.35,6 pieces  |  EGP 36.22/piece
